experiment_id,stage,data_split_allowed,feature_version,baseline_or_candidate,modalities,mask_policy,corruption_type,location,duration_or_rate,normalizer,loss,seed_policy,metrics,decision_rule,dependencies,evidence_status,execution_status,budget_block,new_training_runs,training_run_ref,purpose,metrics_value,design_status
B-T,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,text pool MLP,T,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,PROTOCOL_FREEZE_AND_SEPARATE_EXECUTION_AUTHORIZATION,HYPOTHESIS,NOT_RUN,B,6,,candidate,null,PROVISIONAL
B-A,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,audio pool MLP,A,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,PROTOCOL_FREEZE_AND_SEPARATE_EXECUTION_AUTHORIZATION,HYPOTHESIS,NOT_RUN,B,6,,candidate,null,PROVISIONAL
B-V,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,vision pool MLP,V,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,PROTOCOL_FREEZE_AND_SEPARATE_EXECUTION_AUTHORIZATION,HYPOTHESIS,NOT_RUN,B,6,,candidate,null,PROVISIONAL
B-CAT,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,raw pooled concat MLP,TAV,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,PROTOCOL_FREEZE_AND_SEPARATE_EXECUTION_AUTHORIZATION,HYPOTHESIS,NOT_RUN,B,6,,candidate,null,PROVISIONAL
PRIOR,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,train prior and median,TAV,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,PROTOCOL_FREEZE_AND_SEPARATE_EXECUTION_AUTHORIZATION,HYPOTHESIS,NOT_RUN,PRIOR,0,,constant statistics;not iterative training,null,PROVISIONAL
LATE,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,equal probability late,TAV,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,B-T/B-A/B-V,HYPOTHESIS,NOT_RUN,LATE,0,B-T/B-A/B-V,reuse existing fits,null,PROVISIONAL
C0,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,projected pool equal fusion clean,TAV,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,B*/common normalizer already locked,HYPOTHESIS,NOT_RUN,C0,3,,candidate,null,PROVISIONAL
R0,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,C0 plus local augmentation,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,C0;clean reference locked,HYPOTHESIS,NOT_RUN,R0,3,,candidate,null,PROVISIONAL
R1,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,partial temporal encoder equal fusion,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R0,HYPOTHESIS,NOT_RUN,CORE,3,,candidate,null,PROVISIONAL
R2,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,same R1 encoder architecture learned gating,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R1,HYPOTHESIS,NOT_RUN,CORE,3,,candidate,null,PROVISIONAL
R1-CAP,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,R1 equal plus nongating capacity MLP,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R1,HYPOTHESIS,NOT_RUN,CORE,3,,candidate,null,PROVISIONAL
D-NOMETA,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,gate/head without learned b/rho;safe A retained,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R2,HYPOTHESIS,NOT_RUN,D,3,,diagnostic,null,PROVISIONAL
D-MASK,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,b/rho only,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R2,HYPOTHESIS,NOT_RUN,D,3,,diagnostic;not final ranking,null,PROVISIONAL
